DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
12/31/13,100,30254,5840,11979,1930,15128,1563,10239,7459,3065,1861
12/31/13,200,29241,5710,11438,1884,14886,1498,9964,7241,2970,1835
12/31/13,300,28772,5617,11113,1845,14831,1469,9921,7115,2917,1841
12/31/13,400,28762,5661,10928,1843,14873,1461,9981,7073,2910,1872
12/31/13,500,29391,5732,10926,1875,15001,1481,10290,7156,2958,1934
12/31/13,600,31079,5999,11078,1960,15712,1563,10947,7406,3064,1995
12/31/13,700,33398,6337,11492,2083,16579,1663,11865,7846,3259,2101
12/31/13,800,35058,6602,12172,2186,17423,1739,12565,8234,3405,2186
12/31/13,900,35668,6670,12473,2247,17754,1771,12689,8349,3469,2180
12/31/13,1000,35818,6781,12597,2278,17820,1820,12487,8530,3551,2090
12/31/13,1100,35909,6720,12732,2302,17837,1840,12093,8720,3605,2018
12/31/13,1200,35688,6721,12828,2319,17609,1886,11690,8755,3510,1899
12/31/13,1300,34958,6742,12902,2256,17300,1899,11303,8714,3363,1809
12/31/13,1400,34948,6689,12832,2181,16897,1900,11057,8632,3284,1705
12/31/13,1500,34758,6556,12794,2122,16407,1894,10853,8494,3221,1633
12/31/13,1600,34608,6493,12768,2102,16245,1879,10898,8372,3225,1611
12/31/13,1700,35918,6689,12735,2134,16399,1892,11412,8474,3243,1621
12/31/13,1800,39234,7111,13383,2217,17457,2009,12782,9016,3428,1764
12/31/13,1900,39041,7062,14041,2250,17722,2015,13000,9108,3530,1964
12/31/13,2000,37820,6878,13768,2168,17462,1962,12769,8842,3453,1899
12/31/13,2100,36493,6676,13358,2098,17138,1888,12559,8572,3320,1907
12/31/13,2200,35147,6475,12922,2028,16684,1817,12247,8226,3231,1898
12/31/13,2300,33766,6302,12503,1942,16335,1792,11934,7898,3132,1892
12/31/13,2400,32595,6085,12035,1879,15922,1711,11696,7648,3013,1856
12/30/13,100,26559,4904,11183,1720,13631,1444,9198,6981,2729,1558
12/30/13,200,25591,4822,10850,1679,13333,1412,9037,6800,2686,1530
12/30/13,300,25204,4684,10682,1667,13367,1405,9016,6717,2658,1564
12/30/13,400,25286,4809,10640,1673,13409,1416,9150,6752,2657,1570
12/30/13,500,25909,4911,10702,1711,13711,1447,9514,6945,2719,1617
12/30/13,600,27588,5211,10971,1808,14324,1523,10230,7324,2882,1697
12/30/13,700,30000,5576,11538,1956,15426,1630,11025,7877,3106,1837
12/30/13,800,31924,5917,12475,2097,16416,1728,11574,8397,3332,1884
12/30/13,900,32865,6155,12903,2164,16775,1780,11679,8591,3410,1908
12/30/13,1000,33480,6309,13042,2215,16996,1817,11563,8777,3473,1944
12/30/13,1100,34003,6460,13193,2248,17265,1868,11424,8864,3509,1965
12/30/13,1200,34140,6508,13307,2265,17204,1870,11232,8862,3485,1991
12/30/13,1300,34135,6534,13328,2273,17191,1893,11046,8840,3491,1979
12/30/13,1400,34106,6512,13221,2254,17079,1875,10896,8867,3478,1923
12/30/13,1500,34023,6416,13127,2229,16979,1881,10879,8761,3480,1910
12/30/13,1600,34375,6418,13062,2210,16874,1867,11053,8705,3451,1874
12/30/13,1700,35960,6571,13069,2231,17060,1893,11510,8801,3497,1913
12/30/13,1800,38857,7017,13834,2344,17780,2018,12585,9304,3667,2026
12/30/13,1900,38879,7071,14525,2384,18039,2033,12713,9433,3741,2079
12/30/13,2000,38423,7079,14427,2349,17831,1994,12553,9401,3686,2079
12/30/13,2100,37710,6991,14260,2308,17591,1958,12428,9202,3634,2033
12/30/13,2200,36339,6774,14018,2228,17223,1908,11949,8880,3543,2045
12/30/13,2300,34275,6466,13530,2123,16481,1819,11357,8374,3378,1967
12/30/13,2400,31986,6125,12756,2019,15592,1676,10721,7871,3195,1897
12/29/13,100,26427,4855,10088,1573,13089,1436,9216,6519,2559,1382
12/29/13,200,25386,4700,9621,1516,12769,1382,8936,6298,2475,1353
12/29/13,300,24713,4578,9309,1485,12582,1352,8780,6117,2412,1346
12/29/13,400,24441,4588,9074,1472,12477,1332,8751,6076,2393,1315
12/29/13,500,24462,4641,8998,1482,12572,1327,8803,6071,2412,1302
12/29/13,600,24992,4730,8997,1510,12790,1342,9052,6204,2455,1410
12/29/13,700,25897,4821,9180,1565,13068,1367,9368,6335,2532,1383
12/29/13,800,26961,5084,9457,1643,13558,1394,9840,6569,2621,1464
12/29/13,900,28127,5353,9634,1710,14071,1447,10278,6748,2721,1472
12/29/13,1000,29509,5550,9874,1773,14268,1515,10647,6999,2852,1546
12/29/13,1100,30574,5670,10336,1818,14399,1539,10857,7172,2913,1571
12/29/13,1200,31441,5705,10678,1828,14449,1587,10845,7277,2946,1627
12/29/13,1300,31945,5752,10933,1830,14523,1610,10751,7399,2948,1643
12/29/13,1400,31945,5715,11032,1797,14379,1628,10513,7351,2895,1584
12/29/13,1500,31666,5620,11157,1778,14153,1629,10183,7278,2893,1518
12/29/13,1600,31518,5576,11267,1771,14168,1616,9967,7347,2836,1497
12/29/13,1700,32568,5731,11444,1897,14470,1656,10070,7493,2947,1462
12/29/13,1800,34377,6071,12134,1984,15243,1755,10969,8038,3154,1604
12/29/13,1900,34381,6113,12695,2036,15572,1767,11317,8192,3227,1704
12/29/13,2000,33793,6024,12741,2009,15374,1727,11157,8133,3211,1750
12/29/13,2100,33126,5943,12694,1996,15338,1713,10983,7988,3204,1660
12/29/13,2200,31829,5705,12569,1939,14899,1685,10613,7859,3105,1650
12/29/13,2300,30196,5450,12273,1861,14472,1630,10131,7617,2960,1640
12/29/13,2400,28207,5182,11754,1778,13831,1544,9583,7266,2828,1584
12/28/13,100,29566,5516,10643,1697,14744,1501,11219,6945,2754,1703
12/28/13,200,28609,5428,10069,1641,14511,1446,11113,6743,2673,1640
12/28/13,300,28194,5387,9710,1608,14344,1441,11134,6612,2618,1688
12/28/13,400,28081,5366,9477,1606,14436,1419,11252,6550,2610,1713
12/28/13,500,28373,5423,9404,1612,14603,1424,11487,6548,2617,1724
12/28/13,600,29128,5558,9469,1656,14957,1431,11953,6649,2670,1778
12/28/13,700,30356,5667,9699,1725,15347,1486,12474,6872,2770,1795
12/28/13,800,31298,5825,10157,1804,15865,1523,12902,7123,2890,1918
12/28/13,900,31903,5926,10341,1843,16139,1542,12948,7168,2951,1939
12/28/13,1000,32062,5959,10451,1874,16066,1572,12377,7355,3001,1929
12/28/13,1100,31720,5800,10541,1873,15693,1584,11651,7358,2988,1813
12/28/13,1200,30690,5653,10577,1858,15166,1578,11007,7343,2923,1635
12/28/13,1300,29595,5483,10531,1791,14526,1569,10431,7167,2852,1586
12/28/13,1400,28716,5287,10354,1720,14071,1536,9966,7068,2766,1540
12/28/13,1500,28205,5170,10112,1677,13695,1523,9511,6897,2739,1555
12/28/13,1600,28290,5137,9979,1676,13622,1518,9508,6884,2747,1432
12/28/13,1700,29803,5286,10070,1722,13868,1553,9914,7033,2784,1444
12/28/13,1800,32844,5826,10796,1857,14963,1697,11061,7666,3003,1578
12/28/13,1900,33164,5916,11684,1908,15238,1713,11343,7857,3062,1618
12/28/13,2000,32892,5875,11678,1873,15241,1699,11247,7820,3075,1696
12/28/13,2100,32460,5775,11598,1851,15125,1678,11145,7775,3024,1637
12/28/13,2200,31481,5641,11456,1816,14826,1654,10802,7564,2957,1597
12/28/13,2300,29872,5418,11176,1733,14268,1588,10290,7268,2849,1537
12/28/13,2400,28044,5103,10687,1645,13527,1498,9691,6893,2693,1472
12/27/13,100,30647,5781,10909,1816,15172,1559,11693,7310,2900,1788
12/27/13,200,29768,5696,10319,1754,14926,1524,11617,7098,2826,1705
12/27/13,300,29356,5645,9958,1728,14896,1497,11667,6954,2778,1751
12/27/13,400,29479,5627,9749,1718,14874,1488,11845,6855,2782,1803
12/27/13,500,30096,5760,9732,1737,15047,1502,12264,6936,2820,1889
12/27/13,600,31822,6034,9975,1812,15713,1552,13009,7178,2973,1947
12/27/13,700,34188,6385,10572,1945,16643,1646,13770,7658,3150,2071
12/27/13,800,35899,6635,11436,2070,17383,1691,14247,8088,3338,2152
12/27/13,900,36245,6694,11814,2103,17464,1738,14127,8245,3371,2150
12/27/13,1000,35876,6613,11965,2105,17226,1806,13311,8432,3324,2031
12/27/13,1100,35429,6498,11983,2092,16771,1814,12518,8538,3308,1860
12/27/13,1200,34684,6342,12002,2055,16195,1802,11872,8397,3255,1708
12/27/13,1300,33898,6167,11917,2004,15550,1780,11356,8275,3175,1612
12/27/13,1400,33202,5986,11794,1959,15149,1742,10885,8126,3078,1521
12/27/13,1500,32767,5814,11712,1903,14714,1712,10593,7910,3019,1446
12/27/13,1600,32858,5787,11619,1862,14506,1695,10519,7782,2991,1409
12/27/13,1700,34237,5948,11583,1853,14658,1720,10971,7858,2996,1423
12/27/13,1800,37231,6425,12311,1989,15774,1832,12176,8445,3170,1514
12/27/13,1900,37223,6552,13092,2071,16274,1835,12522,8619,3287,1755
12/27/13,2000,36722,6521,12973,2055,16454,1821,12570,8539,3287,1753
12/27/13,2100,36147,6521,12770,2022,16453,1801,12548,8422,3240,1771
12/27/13,2200,35030,6398,12476,1970,16331,1761,12400,8222,3192,1771
12/27/13,2300,33235,6132,12116,1888,15843,1680,12032,7846,3065,1767
12/27/13,2400,31213,5808,11410,1784,15203,1586,11555,7422,2878,1726
12/26/13,100,29967,5644,10587,1726,14283,1537,12265,6732,2716,1425
12/26/13,200,29256,5520,10159,1690,14081,1500,12196,6530,2667,1443
12/26/13,300,29028,5527,9979,1674,13883,1479,12275,6453,2647,1386
12/26/13,400,29197,5541,9928,1672,13945,1463,12460,6433,2663,1429
12/26/13,500,29962,5639,10002,1707,14099,1475,12773,6528,2699,1451
12/26/13,600,31616,5817,10259,1802,14585,1535,13296,6846,2856,1510
12/26/13,700,33836,6097,10883,1952,15458,1621,13764,7410,3049,1654
12/26/13,800,35563,6378,11772,2085,16467,1693,14067,7906,3231,1800
12/26/13,900,36509,6502,12194,2120,16842,1734,14117,8084,3290,1807
12/26/13,1000,37208,6612,12431,2152,16856,1784,13976,8251,3304,1865
12/26/13,1100,37227,6588,12706,2165,16757,1808,13479,8426,3294,1795
12/26/13,1200,36544,6463,12845,2160,16500,1815,12822,8449,3270,1692
12/26/13,1300,35517,6343,12885,2127,16061,1803,12206,8424,3234,1620
12/26/13,1400,34499,6207,12799,2084,15727,1777,11643,8452,3164,1562
12/26/13,1500,33796,6117,12628,2035,15368,1751,11204,8368,3094,1495
12/26/13,1600,33871,6050,12462,1988,15227,1734,11045,8294,3094,1443
12/26/13,1700,35445,6216,12487,1996,15534,1759,11495,8388,3098,1488
12/26/13,1800,38800,6751,13261,2156,16718,1906,12755,8925,3315,1655
12/26/13,1900,38936,6880,13895,2235,17290,1924,13113,9154,3486,1854
12/26/13,2000,38451,6899,13646,2226,17357,1889,13197,9052,3471,1891
12/26/13,2100,37819,6848,13345,2196,17271,1869,13211,8932,3447,1933
12/26/13,2200,36599,6697,13076,2133,16991,1822,12981,8554,3363,1821
12/26/13,2300,34545,6379,12530,2020,16445,1733,12528,8239,3193,1872
12/26/13,2400,32292,6060,11718,1903,15834,1643,12021,7716,3044,1856
12/25/13,100,30954,6172,11426,1989,16085,1595,12049,7350,3197,2030
12/25/13,200,29937,6029,10915,1926,15746,1550,11933,7102,3082,1972
12/25/13,300,29450,5949,10537,1875,15673,1514,11937,6966,3009,1967
12/25/13,400,29400,6009,10316,1859,15599,1507,12108,6886,2999,1962
12/25/13,500,29788,6076,10204,1854,15793,1509,12380,6902,2966,1981
12/25/13,600,30760,6178,10210,1880,15990,1533,12865,6995,3009,2051
12/25/13,700,32075,6365,10359,1928,16482,1564,13456,7209,3117,2095
12/25/13,800,33107,6543,10586,1987,16955,1604,13901,7482,3190,2195
12/25/13,900,33667,6676,10732,2065,17158,1631,13972,7624,3254,2233
12/25/13,1000,33633,6611,10843,2130,16971,1669,13548,7785,3328,2150
12/25/13,1100,33197,6486,11057,2153,16518,1682,12952,7853,3286,1997
12/25/13,1200,32617,6351,11162,2120,15957,1680,12399,7883,3199,1859
12/25/13,1300,31990,6134,11176,2060,15251,1661,11870,7794,3124,1698
12/25/13,1400,31336,5898,11173,2012,14521,1656,11356,7627,3064,1534
12/25/13,1500,30936,5714,11078,1965,14144,1635,11032,7444,3024,1424
12/25/13,1600,30996,5651,11020,1944,13941,1608,10972,7399,3036,1391
12/25/13,1700,32351,5777,11045,1941,14155,1625,11444,7480,3041,1425
12/25/13,1800,34660,6175,11627,2011,15029,1702,12591,7838,3126,1561
12/25/13,1900,34689,6317,11996,2016,15454,1704,12870,7875,3154,1649
12/25/13,2000,34700,6342,11953,2018,15615,1711,13037,7855,3138,1644
12/25/13,2100,34715,6355,11874,1993,15658,1714,13200,7801,3134,1674
12/25/13,2200,34195,6259,11788,1958,15573,1681,13177,7689,3066,1628
12/25/13,2300,32933,6081,11603,1889,15163,1649,12889,7436,2991,1591
12/25/13,2400,31196,5843,11152,1795,14638,1604,12521,7072,2827,1520
12/24/13,100,26387,5231,12691,1889,14482,1494,8828,7159,3010,1728
12/24/13,200,25302,5057,12058,1835,14116,1433,8587,6869,2900,1620
12/24/13,300,24784,5011,11664,1809,14060,1384,8538,6740,2879,1612
12/24/13,400,24832,5024,11421,1823,14028,1383,8691,6707,2884,1622
12/24/13,500,25559,5114,11370,1872,14384,1401,9113,6799,2962,1646
12/24/13,600,27310,5339,11437,1974,14854,1451,9848,6996,3064,1700
12/24/13,700,29735,5654,11794,2100,15691,1512,10747,7384,3293,1802
12/24/13,800,31653,5968,12318,2216,16492,1595,11557,7805,3460,1911
12/24/13,900,32726,6101,12609,2286,16910,1641,11970,8051,3540,2002
12/24/13,1000,32821,6252,12785,2357,17224,1705,12007,8297,3615,2046
12/24/13,1100,32569,6361,12924,2348,17202,1744,11852,8395,3651,2062
12/24/13,1200,32322,6332,12885,2301,16797,1730,11605,8389,3572,1940
12/24/13,1300,32008,6220,12695,2214,16417,1704,11279,8320,3473,1884
12/24/13,1400,31907,6147,12413,2168,15932,1699,11048,8250,3364,1760
12/24/13,1500,31965,6125,12162,2119,15724,1705,10955,8137,3277,1691
12/24/13,1600,32359,6103,11966,2072,15489,1696,11120,8054,3203,1661
12/24/13,1700,34002,6381,12003,2061,15770,1730,11637,8248,3232,1662
12/24/13,1800,36619,6784,12855,2175,16703,1835,12738,8663,3443,1842
12/24/13,1900,36073,6691,13438,2229,16939,1815,12789,8596,3523,1912
12/24/13,2000,35439,6618,13158,2204,16813,1785,12699,8398,3474,1988
12/24/13,2100,35128,6624,12857,2203,16943,1765,12775,8311,3491,2023
12/24/13,2200,34716,6612,12660,2193,16997,1748,12793,8204,3492,2055
12/24/13,2300,33816,6581,12396,2145,16879,1711,12608,7981,3442,2075
12/24/13,2400,32487,6380,11944,2075,16405,1654,12337,7686,3318,2053
12/23/13,100,23351,4188,10968,1607,12214,1344,7672,6618,2508,1189
12/23/13,200,22171,4012,10424,1573,11877,1284,7328,6363,2433,1178
12/23/13,300,21568,4005,10161,1550,11736,1252,7138,6220,2409,1189
12/23/13,400,21437,4022,10020,1560,11754,1255,7039,6194,2427,1203
12/23/13,500,21985,4096,10013,1607,12106,1270,7180,6387,2504,1279
12/23/13,600,23545,4361,10285,1721,12736,1343,7659,6718,2690,1379
12/23/13,700,26162,4767,10938,1886,13756,1462,8382,7362,2946,1524
12/23/13,800,28554,5131,11847,2034,14774,1565,9038,7966,3177,1651
12/23/13,900,29846,5307,12478,2105,15299,1634,9494,8249,3246,1703
12/23/13,1000,30822,5430,12717,2148,15752,1679,9891,8452,3297,1768
12/23/13,1100,31449,5611,12896,2197,16033,1721,10067,8615,3342,1784
12/23/13,1200,31720,5672,12894,2186,16064,1721,10082,8638,3326,1796
12/23/13,1300,31526,5687,12894,2164,15962,1727,9992,8629,3290,1729
12/23/13,1400,31373,5684,12831,2152,15972,1752,9905,8569,3247,1681
12/23/13,1500,31200,5690,12831,2131,15828,1748,9818,8461,3242,1663
12/23/13,1600,31287,5715,12814,2118,15734,1738,9818,8365,3256,1639
12/23/13,1700,32642,5910,12931,2145,15862,1774,10154,8448,3322,1697
12/23/13,1800,34435,6330,13879,2264,16613,1881,10861,8978,3510,1832
12/23/13,1900,34366,6337,14828,2308,16913,1901,10846,9058,3587,1904
12/23/13,2000,33970,6334,14817,2291,16917,1882,10689,8935,3588,1950
12/23/13,2100,33335,6282,14733,2252,16904,1854,10530,8747,3550,1991
12/23/13,2200,32293,6115,14577,2209,16604,1816,10255,8573,3479,1912
12/23/13,2300,30493,5911,14239,2108,16047,1721,9830,8167,3355,1843
12/23/13,2400,28294,5522,13487,1992,15214,1591,9258,7527,3167,1800
12/22/13,100,24330,4171,10813,1496,11913,1375,7771,6660,2374,993
12/22/13,200,23063,4021,10257,1423,11471,1305,7410,6320,2240,942
12/22/13,300,22311,3886,9913,1383,11193,1266,7132,6233,2176,907
12/22/13,400,21894,3781,9659,1354,10903,1237,6984,6082,2151,894
12/22/13,500,21842,3797,9572,1343,10927,1234,6998,6067,2131,917
12/22/13,600,22209,3867,9562,1363,11128,1256,7177,6132,2154,900
12/22/13,700,23135,3984,9722,1413,11451,1286,7441,6281,2221,974
12/22/13,800,24178,4328,10012,1511,12013,1345,7844,6511,2336,1038
12/22/13,900,25528,4598,10226,1577,12570,1400,8410,6692,2440,1150
12/22/13,1000,26860,4755,10408,1633,12906,1459,8977,6879,2562,1268
12/22/13,1100,27577,4757,10597,1653,12918,1486,9229,7004,2611,1259
12/22/13,1200,27927,4784,10794,1668,13002,1515,9261,7043,2646,1254
12/22/13,1300,27981,4814,10844,1671,13112,1518,9294,7019,2658,1241
12/22/13,1400,27972,4796,10867,1660,13072,1523,9230,7032,2645,1265
12/22/13,1500,27866,4770,10885,1648,13113,1522,9208,6965,2633,1229
12/22/13,1600,27987,4816,10942,1659,13112,1525,9207,6975,2613,1207
12/22/13,1700,29684,5064,11150,1714,13382,1552,9508,7143,2694,1251
12/22/13,1800,31769,5353,12025,1874,14312,1680,10252,7831,2932,1351
12/22/13,1900,31843,5390,12727,1915,14508,1683,10390,8049,3029,1403
12/22/13,2000,31387,5349,12748,1909,14474,1659,10196,8014,2998,1405
12/22/13,2100,30858,5323,12734,1889,14335,1656,9988,7898,2998,1331
12/22/13,2200,29581,5119,12574,1850,13964,1614,9589,7775,2919,1364
12/22/13,2300,27599,4840,12263,1782,13377,1536,9026,7431,2799,1314
12/22/13,2400,25351,4468,11657,1687,12781,1430,8255,6985,2652,1262
12/21/13,100,26331,4736,10950,1552,12472,1413,8393,6598,2485,1109
12/21/13,200,25060,4546,10359,1474,12071,1356,8064,6319,2354,1059
12/21/13,300,24379,4407,9949,1428,11896,1304,7869,6153,2298,988
12/21/13,400,24102,4344,9692,1402,11809,1275,7819,6043,2262,980
12/21/13,500,24261,4398,9646,1400,11867,1291,7886,6066,2268,1014
12/21/13,600,24934,4505,9695,1441,12079,1313,8179,6188,2327,1032
12/21/13,700,26329,4702,9975,1515,12573,1355,8610,6489,2436,1049
12/21/13,800,27625,4947,10500,1624,13325,1442,9127,6860,2585,1156
12/21/13,900,28887,5150,10969,1711,13894,1502,9527,7149,2728,1208
12/21/13,1000,29570,5302,11251,1773,14226,1546,9760,7401,2821,1291
12/21/13,1100,29451,5341,11551,1831,14256,1576,9681,7605,2918,1281
12/21/13,1200,28956,5323,11731,1844,14164,1597,9408,7719,2953,1271
12/21/13,1300,28435,5245,11762,1824,13984,1591,9229,7675,2951,1272
12/21/13,1400,27879,5149,11686,1800,13891,1570,9037,7578,2929,1242
12/21/13,1500,27640,5063,11587,1783,13662,1571,8901,7531,2888,1234
12/21/13,1600,27756,5043,11518,1768,13572,1586,8785,7542,2832,1211
12/21/13,1700,29351,5190,11724,1795,13759,1606,9132,7824,2848,1235
12/21/13,1800,31864,5551,12439,1898,14456,1693,10129,8240,2995,1259
12/21/13,1900,31890,5541,12815,1892,14587,1710,10205,8327,3038,1384
12/21/13,2000,31304,5460,12751,1864,14547,1679,9993,8172,3011,1309
12/21/13,2100,30770,5355,12628,1840,14336,1660,9823,8049,2949,1306
12/21/13,2200,29800,5182,12410,1786,14064,1612,9471,7854,2834,1284
12/21/13,2300,28226,4819,12083,1694,13417,1560,9023,7544,2703,1219
12/21/13,2400,26182,4452,11486,1585,12655,1466,8384,7036,2518,1081
12/20/13,100,28497,5378,10932,1798,14161,1522,9379,7281,2648,1346
