DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
05/08/18,100,22631,4375,9176,1538,11347,1159,7885,5949,2344,1017
05/08/18,200,21586,4197,8666,1474,10994,1120,7607,5730,2244,982
05/08/18,300,21026,4118,8331,1433,10793,1102,7446,5647,2177,954
05/08/18,400,20869,4052,8111,1419,10746,1109,7355,5614,2155,937
05/08/18,500,21336,4114,8048,1440,10888,1107,7562,5761,2178,962
05/08/18,600,22973,4419,8191,1550,11556,1183,8161,6092,2316,1019
05/08/18,700,25371,4740,8684,1724,12462,1262,9041,6597,2554,1182
05/08/18,800,27070,4988,9504,1843,13123,1337,9596,6997,2691,1220
05/08/18,900,27606,5024,10370,1858,13411,1404,9728,7149,2777,1192
05/08/18,1000,27860,5119,10914,1908,13631,1466,9905,7320,2819,1140
05/08/18,1100,28114,5218,11337,1932,13804,1497,10065,7460,2903,1173
05/08/18,1200,28450,5303,11712,1947,14043,1579,10229,7571,2950,1197
05/08/18,1300,28764,5389,12002,1992,14214,1605,10247,7569,2973,1228
05/08/18,1400,29253,5447,12308,2015,14461,1594,10462,7721,3035,1277
05/08/18,1500,29640,5500,12627,2043,14575,1666,10597,7716,3098,1292
05/08/18,1600,30168,5612,12868,2047,14769,1673,10825,7695,3152,1352
05/08/18,1700,30824,5696,13018,2064,14850,1681,11105,7665,3240,1434
05/08/18,1800,31277,5722,13116,2088,14877,1676,11259,7630,3283,1449
05/08/18,1900,30984,5736,12907,2088,14862,1671,11199,7598,3260,1494
05/08/18,2000,30483,5630,12336,2059,14690,1628,10991,7470,3202,1491
05/08/18,2100,30805,5656,11973,2043,14696,1601,11078,7524,3164,1489
05/08/18,2200,29614,5587,12018,2028,14633,1569,10594,7581,3137,1475
05/08/18,2300,26986,5089,11506,1878,13610,1440,9552,7020,2899,1336
05/08/18,2400,24533,4650,10583,1700,12462,1311,8685,6475,2622,1152
05/07/18,100,21592,4183,8245,1452,10832,1153,7903,5625,2272,976
05/07/18,200,20810,4068,7880,1422,10463,1112,7587,5526,2189,932
05/07/18,300,20439,4029,7627,1387,10289,1094,7377,5414,2109,894
05/07/18,400,20327,4050,7509,1389,10319,1108,7374,5433,2112,892
05/07/18,500,20919,4159,7532,1414,10740,1125,7493,5502,2168,914
05/07/18,600,22688,4450,7809,1532,11400,1186,8112,5877,2326,988
05/07/18,700,25220,4857,8344,1695,12533,1280,9017,6409,2592,1121
05/07/18,800,27035,5108,9219,1829,13158,1335,9572,6797,2739,1183
05/07/18,900,27629,5137,10054,1883,13368,1404,9693,7033,2797,1181
05/07/18,1000,27830,5174,10485,1919,13675,1463,9795,7197,2840,1178
05/07/18,1100,28210,5197,10803,1967,13884,1503,9994,7367,2908,1166
05/07/18,1200,28321,5228,11114,1976,14029,1502,10205,7476,2978,1226
05/07/18,1300,28467,5227,11286,1992,14088,1520,10230,7567,3015,1268
05/07/18,1400,28974,5206,11388,1999,14238,1546,10370,7562,3038,1278
05/07/18,1500,29432,5277,11552,2004,14351,1546,10400,7521,3083,1312
05/07/18,1600,29895,5289,11626,1983,14373,1541,10525,7451,3085,1324
05/07/18,1700,30356,5333,11665,1985,14366,1532,10830,7409,3076,1355
05/07/18,1800,30657,5371,11675,1990,14310,1515,10966,7334,3099,1401
05/07/18,1900,30435,5399,11595,1972,14274,1492,10922,7219,3092,1417
05/07/18,2000,30159,5388,11310,1939,14019,1472,10772,7152,3030,1421
05/07/18,2100,30673,5483,11061,1930,14138,1470,10955,7228,3009,1402
05/07/18,2200,29429,5399,11211,1937,13994,1451,10473,7204,2971,1426
05/07/18,2300,26895,4983,10785,1785,13048,1348,9491,6718,2747,1294
05/07/18,2400,24448,4559,9985,1639,12047,1220,8582,6289,2523,1131
05/06/18,100,22113,3969,8777,1337,10662,1156,8013,5572,2188,984
05/06/18,200,21077,3869,8259,1285,10321,1113,7667,5342,2099,933
05/06/18,300,20395,3728,7900,1254,10057,1090,7377,5237,2037,909
05/06/18,400,20017,3687,7665,1230,9952,1076,7301,5135,2011,872
05/06/18,500,19937,3758,7472,1224,9925,1066,7298,5145,2000,893
05/06/18,600,20204,3778,7418,1248,10023,1089,7362,5241,2026,885
05/06/18,700,20526,3798,7438,1277,10207,1093,7540,5244,2075,916
05/06/18,800,21447,3965,7425,1328,10520,1109,7862,5350,2123,982
05/06/18,900,22870,4262,7683,1406,11162,1159,8471,5689,2250,1069
05/06/18,1000,24012,4449,8081,1471,11600,1223,8913,5977,2364,1143
05/06/18,1100,24673,4570,8461,1511,11926,1255,9160,6113,2477,1155
05/06/18,1200,24998,4658,8787,1549,12065,1274,9247,6228,2553,1154
05/06/18,1300,25207,4653,8992,1581,12238,1288,9381,6335,2621,1208
05/06/18,1400,25194,4634,9199,1625,12327,1300,9413,6437,2677,1222
05/06/18,1500,25133,4567,9280,1653,12497,1294,9545,6440,2752,1259
05/06/18,1600,25236,4541,9393,1702,12654,1285,9742,6529,2823,1298
05/06/18,1700,25666,4632,9484,1725,12871,1297,10064,6575,2891,1362
05/06/18,1800,26313,4775,9520,1747,13118,1309,10447,6713,2903,1396
05/06/18,1900,26640,4814,9529,1742,13152,1309,10515,6641,2824,1383
05/06/18,2000,26881,4794,9382,1707,13171,1308,10564,6629,2759,1365
05/06/18,2100,27534,4968,9289,1709,13247,1362,10693,6667,2755,1315
05/06/18,2200,26615,4871,9531,1708,13084,1369,10314,6622,2770,1313
05/06/18,2300,24846,4576,9321,1625,12291,1273,9459,6277,2609,1212
05/06/18,2400,22981,4311,8763,1542,11451,1196,8581,5913,2416,1064
05/05/18,100,27453,4368,9356,1457,11352,1234,9696,5859,2454,1084
05/05/18,200,25600,4168,8770,1375,10967,1171,8975,5638,2318,1006
05/05/18,300,24195,4090,8365,1327,10566,1139,8599,5500,2209,945
05/05/18,400,23310,3961,8072,1305,10317,1110,8277,5444,2167,899
05/05/18,500,22776,3979,7901,1300,10358,1118,8180,5408,2122,939
05/05/18,600,22918,4042,7939,1325,10590,1127,8194,5562,2185,929
05/05/18,700,23159,4081,8036,1375,10822,1138,8314,5661,2247,970
05/05/18,800,24027,4282,8188,1452,11173,1182,8639,5852,2319,1014
05/05/18,900,25425,4448,8700,1551,11685,1247,9334,6089,2476,1094
05/05/18,1000,26249,4635,9297,1603,12154,1307,9734,6368,2564,1178
05/05/18,1100,26722,4735,9744,1630,12347,1360,10079,6558,2643,1230
05/05/18,1200,27149,4835,10154,1627,12499,1379,10416,6592,2659,1247
05/05/18,1300,27317,4830,10374,1626,12513,1389,10561,6576,2670,1207
05/05/18,1400,27563,4810,10537,1618,12603,1400,10548,6598,2639,1190
